stop_name,stop_lon,stop_id,stop_lat,parent_station,location_type
Gerar,38.689429,node/7041052954,8.9813447,,0
Repi (Gerar),38.6851955,node/7041052955,8.9794179,,0
Gebre Kirstos,38.7220154,node/7041052957,8.9773403,,0
Bisrate Gebrael,38.7228933,node/7041052958,8.9884304,,0
Gofa Gebriel (2),38.7488548,node/7041052959,8.9753751,,0
Bole Mickael,38.7772221,node/7041052963,8.9816131,,0
MOHA (Pepsi Factory),38.7560783,node/7041052965,8.9822682,,0
Gotera (Oilibiya),38.7600125,node/7041052969,8.9762662,,0
Gotera (Oilibiya),38.7598239,node/7041052970,8.976182,,0
St. Joseph Church,38.7620577,node/7041052975,8.9697308,,0
kadisco Building,38.7627885,node/7041052977,8.9659447,,0
kadisco Building,38.762999,node/7041052978,8.965927,,0
Kadisco,38.7630788,node/7041052979,8.9637596,,0
Adey Abeba,38.7640609,node/7041052980,8.9583017,,0
Adey Abeba,38.7638459,node/7041052982,8.9582595,,0
Saris (CBE),38.7635583,node/7041071286,8.9528662,,0
Saris (CBE/Shoa Bakery),38.7633266,node/7041071287,8.9527596,,0
Abo Junction,38.7661044,node/7041071289,8.9450003,,0
Abo Junction,38.7663069,node/7041071290,8.9450733,,0
Customs (Train Station),38.763132,node/7041071291,8.9380959,,0
Kality Maseltegna,38.766627,node/7041071295,8.9323275,,0
Wehalemat,38.7681692,node/7041071296,8.9298173,,0
Bulgaria Mazoria,38.7478244,node/7041071342,8.9950292,,0
Begtera,38.7475059,node/7041071344,8.9971703,,0
AU (Mikael) Rounrdabout,38.7395945,node/7041071348,8.9990569,,0
Bulgaria,38.7478465,node/7041071350,8.9937942,,0
Global Hotel,38.7598183,node/7041071353,8.9941836,,0
Beklo Bet (Global),38.7596352,node/7041071354,8.9953383,,0
Tele Garage,38.7584812,node/7041071355,9.000141,,0
Riche,38.7586986,node/7041071356,9.0043253,,0
Filweha (Hotsprings),38.7572645,node/7041071360,9.017718,,0
Filweha (Hotsprings),38.7570579,node/7041071362,9.0175554,,0
Ghion Hotel (Enterance),38.7576145,node/7041071364,9.0138328,,0
Admas University College,38.7590434,node/7041071371,9.0105316,,0
Lalibela Hotel,38.7570112,node/7041071372,9.0118612,,0
Legehar,38.7539285,node/7041071377,9.0117857,,0
Mexico,38.7461963,node/7041071380,9.0097755,,0
Guenet Hotel,38.7466748,node/7041071384,9.0046908,,0
Guenet Hotel,38.74694,node/7041071385,9.0032786,,0
Abenet,38.7334947,node/7041071388,9.0214263,,0
Darmar,38.7348248,node/7041071390,9.0157856,,0
Coca Cola,38.7294714,node/7041071391,9.0159169,,0
Austria Embassy,38.7278809,node/7041071392,8.9939406,,0
Mechare Meda,38.727499,node/7041071393,8.9936591,,0
3 Kutir Mazoriya (Total),38.7152417,node/7041071395,8.9925902,,0
Minaye Building,38.7184074,node/7041071397,8.995414,,0
Old Airport (Mobil),38.7191221,node/7041071399,8.9998642,,0
Tor Hailoch,38.7206897,node/7041071400,9.0099949,,0
Keranio Mewcha,38.7100309,node/7041071401,9.0133411,,0
Holand,38.7159484,node/7041071402,9.0213057,,0
Meseret Edget,38.714954,node/7041071403,9.0245409,,0
Tewodros Square,38.75166,node/7041071406,9.0262634,,0
Tewodros Square,38.7517909,node/7041071407,9.0263826,,0
Black Lion,38.7521859,node/7041071411,9.0218352,,0
National Theatre,38.751592,node/7041071414,9.0158768,,0
National Theatre,38.7513097,node/7041071415,9.0156938,,0
Buna Ena Shay,38.7490599,node/7041071419,9.0114261,,0
Buna Ena Shay,38.7479733,node/7041071420,9.0105922,,0
Mexico Shebelle Hotel,38.7468862,node/7041071423,9.0119916,,0
TVET College (Tegbare'd),38.7429038,node/7041071425,9.0105894,,0
Federal Police (Tegbare'd),38.7426638,node/7041071429,9.0103865,,0
Lideta (Balcha Hospital),38.7385604,node/7041071431,9.0111161,,0
Lideta Condominium,38.7377815,node/7041071432,9.011233,,0
Lideta Tsebel,38.733822,node/7041071433,9.0041706,,0
Dessie Hotel,38.7338119,node/7041071434,9.0093091,,0
High Court,38.7342297,node/7041071435,9.0108572,,0
Lideta High Court,38.733431,node/7041071437,9.0115829,,0
Coca Cafe,38.7292339,node/7041071441,9.0119411,,0
Mekonenoch (Golf) Club,38.7265458,node/7041071444,9.011282,,0
Torhailoch,38.7216866,node/7041071447,9.0119442,,0
Tor Hailoch,38.7206478,node/7041071448,9.0139112,,0
Tor Hailoch,38.7209168,node/7041071449,9.013939,,0
Keranio Bridge,38.7089411,node/7041071450,9.0194506,,0
Medhanialem,38.7049748,node/7041071451,9.0175679,,0
Keranio Adebabay,38.7006446,node/7041071452,9.0176634,,0
Kokebe,38.6994971,node/7041071453,9.0180779,,0
Yeshi Debele,38.6954056,node/7041071454,9.0195382,,0
Yeshi Debele,38.6957701,node/7041071455,9.0190748,,0
St. Urael Church,38.7752596,node/7041071459,9.0110433,,0
Salcost Apartments (NOC),38.766397,node/7041071461,9.0104908,,0
St. Estifanos Church,38.7626376,node/7041071462,9.0118738,,0
Meles Zenawi Foundation,38.7715231,node/7041071466,9.0206693,,0
Azmari Bet (Traditional Music Club),38.770643,node/7041071468,9.0194316,,0
Hilton Hotel (Apartments),38.7638714,node/7041071471,9.0196382,,0
Women Square,38.7772342,node/7041071473,9.0233468,,0
Women Square,38.7771738,node/7041071474,9.0234508,,0
Arat Kilo,38.7652099,node/7041071480,9.0321438,,0
Bel Air,38.7728461,node/7041071481,9.032458,,0
Addis View Hotel,38.7730493,node/7041071482,9.0324918,,0
Menelik II Hospital,38.7730556,node/7041071483,9.0385857,,0
Menlik Hospital,38.7719268,node/7041071484,9.0388201,,0
Piassa Arada,38.7522029,node/7041071579,9.0365871,,0
Piassa Arada,38.7524445,node/7041071580,9.0363947,,0
Piassa Arada,38.7523326,node/7041071592,9.0354239,,0
Habtegiorgis Bridge,38.7491242,node/7041071594,9.0352553,,0
Kurtu Building,38.7437548,node/7041071596,9.0341887,,0
Autobis Tera (3),38.7337775,node/7041071599,9.0342308,,0
Autobus Tera,38.7298446,node/7041071600,9.03371,,0
Darsema Grosery,38.7294433,node/7041071601,9.0338533,,0
Sefere Salam,38.7219216,node/7041071606,9.0366318,,0
Kolfe,38.7173824,node/7041071607,9.037044,,0
Abysinia Coffee,38.7164487,node/7041071608,9.0373422,,0
Degu Hotel,38.7151531,node/7041071609,9.0338162,,0
18 Mazoria,38.7130781,node/7041071610,9.0335338,,0
18 Mazoria,38.7135105,node/7041071612,9.0335825,,0
Luwkanda,38.7093322,node/7041071614,9.0333303,,0
Realstate,38.6951186,node/7041071616,9.0327975,,0
Ras Mekonene Bridge (Seba Dereja),38.7568178,node/7041071628,9.0389362,,0
5 Kilo (History Museum),38.7625491,node/7041071629,9.0385989,,0
5 Kilo University,38.761951,node/7041071630,9.0408311,,0
Lion Zoo (PEPSI Kiosk),38.7615693,node/7041071633,9.0427151,,0
Yekatit 12 Hospital,38.7603878,node/7041071636,9.0438891,,0
Yeatit 12 Hospital,38.7593176,node/7041071637,9.0436921,,0
Red-Cross (St. George Total),38.7527639,node/7041071638,9.0386136,,0
St. George Church (Total),38.7517494,node/7041071639,9.0386684,,0
Semen Hotel,38.7488778,node/7041071640,9.0436522,,0
Semen Hotel,38.7482928,node/7041071641,9.0446929,,0
Kelemwerk,38.7461719,node/7041071642,9.0486023,,0
Kelemwerk,38.7458026,node/7041071643,9.0488673,,0
Tibeb Ediget School,38.7443439,node/7041071645,9.0512494,,0
Semen Mazegaga,38.7433813,node/7041071646,9.0523631,,0
Semen Mazagaja,38.7424925,node/7041071647,9.0537306,,0
Medhanialem (TOTAL),38.7220512,node/7041071651,9.0513651,,0
Mezan,38.7722233,node/7041071719,9.053538,,0
3rd Shaleka,38.7690705,node/7041071721,9.0470252,,0
6 Kilo (University),38.7615547,node/7041071723,9.0461753,,0
Meksaye Hizunan Medhanialem,38.7622054,node/7041071725,9.0513004,,0
Teferi Mekonen,38.7622236,node/7041071726,9.052326,,0
Dil Ber,38.7374397,node/7041071749,9.0710894,,0
Entoto Kela,38.7230011,node/7041071755,9.0843712,,0
Weserbi Realestate,38.7095299,node/7041071758,9.1051152,,0
Classy Water,38.7147037,node/7041071759,9.1095355,,0
Medret Hotel,38.7158285,node/7041071760,9.1100449,,0
Kburea,38.7300979,node/7041071761,9.1176074,,0
Kenenisa,38.7304557,node/7041071762,9.1179357,,0
Shefunea,38.7395293,node/7041071763,9.1273122,,0
Shefine,38.7397834,node/7041071764,9.1277902,,0
Doro Erbata,38.7522344,node/7041071772,9.1339361,,0
Abo Gabriel,38.7524529,node/7041071773,9.1341343,,0
Ashewa,38.7538733,node/7041071775,9.1449015,,0
Tabya Hotel,38.7542489,node/7041071776,9.1560016,,0
Sar Bet (Roundabout),38.738359,node/7047495429,8.9929589,,0
United Bank (Ashewa Meda),38.6600221,node/7047495432,9.0286142,,0
Sefera,38.7346499,node/7047495433,8.9208064,,0
Lafto,38.744323,node/7049122264,8.9473774,,0
Hana Mariam (2),38.7440895,node/7049122265,8.935835,,0
Haile Garment,38.7345586,node/7049122266,8.9387647,,0
Yekiber Demena Church,38.8779866,node/7049921444,9.0304285,,0
Megenagna Terminal,38.8024339,node/7049921445,9.0204726,,0
Hill Bottom (Recreation),38.8759579,node/7049921447,9.0220882,,0
Zone 8,38.8775474,node/7049921448,9.0304125,,0
Kotebe Gebriel,38.8546711,node/7055598734,9.0359897,,0
St. Mary Church,38.7579049,node/7055598738,9.0363488,,0
Piassa Arada,38.7535483,node/7055598739,9.0335541,,0
St. Mary Church,38.7579442,node/7055598743,9.0363807,,0
Meskelegna (Ababdo),38.8732637,node/7056754514,9.0630764,,0
Megenagna,38.8022361,node/7056754516,9.020907,,0
Ras Mekonene Bridge (Seba Dereja),38.7568279,node/7057002162,9.0389386,,0
St.Gorgis,38.7519784,node/7062689844,9.0379471,,0
Arat Kilo,38.764362,node/7062689850,9.0325203,,0
4 Kilo,38.7630946,node/7062689851,9.0344021,,0
Medhanialem,38.7621098,node/7062689852,9.0506154,,0
Education Bureau (6 Kilo),38.7635923,node/7062689854,9.044142,,0
Jan Meda,38.7690204,node/7062689855,9.0471236,,0
Frensaye Kela,38.7742742,node/7062689856,9.0557922,,0
Frensaye Kela,38.7736282,node/7062689857,9.0551762,,0
Abo Mazoriya,38.7777387,node/7062689858,9.0569998,,0
Gurara,38.7881845,node/7062689859,9.0623294,,0
Mamo (NFSL TVET),38.7608987,node/7067942461,8.9730894,,0
Agona Cinema,38.7595747,node/7067942462,8.988213,,0
Agona Cinema,38.7597959,node/7067942463,8.9882665,,0
Tele Garage,38.7587377,node/7067942465,9.0004682,,0
Meshualekia,38.7589773,node/7067942466,9.0057314,,0
Zerihun Building,38.7824519,node/7067990019,9.0145395,,0
SNAP Building,38.7872174,node/7070861696,8.9897614,,0
Friendship,38.7844888,node/7070861697,8.9908557,,0
Heber Restaurant,38.7822311,node/7070861698,8.9917592,,0
RWANDA (Werbek House),38.7791533,node/7070861699,8.992295,,0
Wollo Sefer,38.7740953,node/7070861700,8.9946542,,0
Rwanda,38.7798477,node/7070861701,8.9924,,0
Bole Printing Press,38.7723732,node/7070861702,8.9966227,,0
Bole Printing Press,38.7715908,node/7070861703,8.9976714,,0
Mega Printing Press,38.7708659,node/7070861704,8.9993469,,0
Shewa Dabo,38.7697078,node/7070861705,9.001132,,0
Getu Commercial Center,38.7697673,node/7070861706,9.0014126,,0
Dembel City Center,38.7678519,node/7070861707,9.004953,,0
Flamingo,38.7634195,node/7070861710,9.0100482,,0
Piassa Arada,38.7528459,node/7070861712,9.0358386,,0
Anbessa Garage,38.8054033,node/7070861713,9.0074376,,0
Ayat Roundabout,38.876525,node/7070861714,9.0221276,,0
Gebriel,38.8777949,node/7070861716,9.0401288,,0
Semen Mazegaja | ሰሜን ማዘጋጃ,38.7433527,node/7074233342,9.0527134,,0
Del Ber School,38.7411604,node/7074233343,9.0559007,,0
Adisu Gebeya,38.7379037,node/7074233344,9.0592088,,0
Kelebat,38.7355505,node/7074233345,9.061605,,0
Oilibiya (Dil Ber),38.7347909,node/7074233346,9.0679367,,0
Pastor,38.7301845,node/7074267433,9.0463006,,0
Medhanialem,38.7228618,node/7074267434,9.051161,,0
Winget,38.7138884,node/7074267435,9.0554455,,0
Kela,38.6101592,node/7074269464,9.0576131,,0
Kela,38.6101611,node/7074269465,9.0576152,,0
Semen Hotel,38.7481339,node/7074275407,9.0452427,,0
Kera,38.7484333,node/7074294627,8.9866969,,0
Asko,38.6922669,node/7074299254,9.0653014,,0
Sebategna,38.733098,node/7074324043,9.0286512,,0
Autobis Tera (2),38.7324012,node/7074324044,9.0317912,,0
Autobis Tera,38.7321005,node/7074324045,9.0347276,,0
Mekanisa,38.7315967,node/7074326525,8.9733512,,0
Abo Mazoria,38.7343058,node/7074326526,8.9822244,,0
Gate 2,38.8580841,node/7074330387,8.9894962,,0
Tena Tabeya,38.8605382,node/7074330389,8.9942098,,0
Condminium (Gate),38.8602323,node/7074330391,8.9984544,,0
Gomista,38.8573283,node/7074330392,9.0014062,,0
Summit (MOHA),38.8517162,node/7074330394,9.0040839,,0
Safari,38.8518265,node/7074330397,9.0106601,,0
Alemayehu,38.820944,node/7074330400,8.999474,,0
Alemayehu,38.8196821,node/7074330401,9.0005663,,0
Condominium,38.8095474,node/7074330403,9.0050845,,0
Ethio-china,38.8287819,node/7074330407,9.026612,,0
Kara,38.8643277,node/7074330409,9.0403987,,0
Project 15,38.8850641,node/7074332290,8.9654679,,0
Kela,38.8845811,node/7074332294,8.9772657,,0
Chereta,38.7010211,node/7074347184,9.0616842,,0
Gerar,38.6894082,node/7074353066,8.9813585,,0
Jemo 3,38.6959643,node/7074374410,8.9538291,,0
Furi,38.6921288,node/7074374411,8.951847,,0
Sansusi,38.6891023,node/7074387585,9.0714186,,0
Ashewa Meda,38.6653802,node/7074496217,9.0326531,,0
Ashewa Meda,38.6653823,node/7074496218,9.0326414,,0
United Bank (Ashewa Meda),38.6569665,node/7074496219,9.0258997,,0
St. Gebriel,38.6515848,node/7074496221,9.027689,,0
St. Gebriel,38.6515743,node/7074496222,9.0276843,,0
Gojo,38.6216778,node/7074496225,9.0417975,,0
Alem Bank,38.6776598,node/7074504387,9.0010346,,0
Ayer Tena,38.6982193,node/7074504388,8.9831093,,0
Bethel,38.6944335,node/7074504390,9.0045877,,0
Mebrat Nigist Hotel,38.7486994,node/7074525370,8.9700751,,0
Lideta Kefetega Firdbet,38.7326808,node/7074541084,9.0116457,,0
Sefera Square,38.7341804,node/7074561389,8.9249315,,0
Haile Garment,38.7363202,node/7074561391,8.9368661,,0
Mebrathile (EEPCo),38.7334502,node/7074561392,8.9493593,,0
Hana Mariam,38.7544146,node/7074561393,8.9309368,,0
Hana Mariam (2),38.7444615,node/7074561394,8.9361698,,0
Meskelgna,38.7448233,node/7074561395,8.95299,,0
Piassa Arada,38.7514315,node/7074585943,9.0357438,,0
Beklo Bet (Global),38.759835,node/7074599697,8.9953761,,0
Dembel City Center,38.7672511,node/7074691520,9.0055741,,0
Mexico,38.7471393,node/7074707878,9.010735,,0
ERA Office (Big Mak),38.7478601,node/7074707880,9.0127963,,0
Saint Josphe School,38.7591385,node/7074707881,9.0092034,,0
St. Estifanos Church,38.7628296,node/7074707883,9.0124825,,0
Mamo (NFSL TVET),38.7607684,node/7074819178,8.9725713,,0
Kadisco,38.7585063,node/7074841187,8.9310399,,0
Kality Maseltegna,38.7643672,node/7074841188,8.9339802,,0
Teklehaimanot,38.7442895,node/7074921333,9.0291868,,0
Dildiy Mariam,38.7498569,node/7075101457,8.9585362,,0
Kera (Gofa Stop),38.7497528,node/7075101459,8.9837158,,0
Tor Hailoch,38.7208842,node/7075129253,9.009717,,0
Torhayloch,38.7207996,node/7075129254,9.0117428,,0
Tor Hailoch,38.7222467,node/7075129255,9.0117788,,0
Riche,38.7588986,node/7076294502,9.0043941,,0
Mebrat Condominium,38.7438551,node/7076294503,8.9645236,,0
Flamingo,38.7646677,node/7076294505,9.0089349,,0
Condminium (Gate),38.8601035,node/7076294507,8.9984013,,0
Michael (2),38.7325725,node/7076294509,9.0418835,,0
Shero Meda,38.7612538,node/7076294510,9.0622823,,0
Shero Meda,38.7613619,node/7076294511,9.0618175,,0
Dil Ber,38.7369836,node/7076294512,9.0716602,,0
Shero Meda,38.7613887,node/7076294516,9.0618235,,0
6 Kilo (Akim Genbata),38.7612093,node/7076310930,9.0447597,,0
Shero Meda,38.7612397,node/7076310931,9.0626379,,0
Medhanialem,38.7619991,node/7077424942,9.0507372,,0
Ambassador,38.7551039,node/7077601626,9.0163885,,0
Lamberet,38.8139111,node/7077785205,9.0216085,,0
G-7 (Meskelegna),38.8676583,node/7077785207,9.0655587,,0
Kara Condominium,38.8695121,node/7077785209,9.0480304,,0
Autobis Tera (2),38.7325536,node/7077863009,9.031811,,0
Tropical,38.6833448,node/7077863010,8.9960545,,0
Alem Bank,38.6779208,node/7077863012,9.0003767,,0
Tropical,38.6830207,node/7077863014,8.9965876,,0
Kidane Mihret,38.6892387,node/7077863015,8.9923549,,0
Bethel,38.6941906,node/7077863016,9.004479,,0
Mendida,38.7004836,node/7077863017,9.0151128,,0
Abinet,38.7327417,node/7077863018,9.019638,,0
Sebategna,38.7329768,node/7077863019,9.0280905,,0
Mexico,38.7440208,node/7078164250,9.0088714,,0
Haile Garment,38.7349155,node/7078164251,8.9381825,,0
Mekanisa,38.7311018,node/7078164254,8.9729343,,0
Abo Mazoria,38.7345326,node/7078164255,8.9820586,,0
Mexico,38.7437936,node/7078164256,9.0088201,,0
Autobis Tera (1),38.7323925,node/7078406225,9.0330269,,0
Zenebework,38.7090191,node/7078406227,8.9876369,,0
Ayer Tena,38.6949214,node/7078406228,8.9822919,,0
Kara Kore,38.6817556,node/7078406231,8.9755975,,0
Kara Kore,38.6823873,node/7078406235,8.9763865,,0
Ayer Tena (Gerar-Repi),38.6939258,node/7078406236,8.9822452,,0
Repi (Gerar),38.6853377,node/7078406237,8.9795411,,0
Zenebework (Crossing),38.7051886,node/7078406238,8.9852814,,0
3 Kutir Mazoriya (Total),38.715946,node/7078406239,8.992776,,0
Autobis Tera (1),38.7322299,node/7078406240,9.0330007,,0
Condominium,38.8100534,node/7080251773,9.0049451,,0
Goro School,38.8268744,node/7080251774,8.993889,,0
Anbessa Garage,38.8056204,node/7080251776,9.0071789,,0
Estifanos,38.76366,node/7080440194,9.0110028,,0
BAMBIS,38.7690578,node/7080440195,9.0104866,,0
St. Urael Church,38.7752996,node/7080440196,9.0115088,,0
Lex Plaza,38.7823039,node/7080440197,9.0147285,,0
22 (Haya Hulet),38.7896417,node/7080440198,9.0164226,,0
Megenagna,38.8004816,node/7080440200,9.0194097,,0
Megenagna,38.8005914,node/7080440203,9.019032,,0
Lem Hotel,38.7955696,node/7080440204,9.0177169,,0
22 (Haya Hulet),38.7896635,node/7080440205,9.0162149,,0
BAMBIS,38.7694936,node/7080440206,9.0102033,,0
Mexico,38.7467585,node/7080440208,9.0104304,,0
Mexico,38.7462899,node/7080527282,9.0098462,,0
Kera,38.7487773,node/7080527284,8.9863213,,0
Mebrat,38.7487535,node/7080611085,8.96688,,0
Mexico Shebelle Hotel,38.746773,node/7080611091,9.0120423,,0
Michael,38.7322629,node/7080893992,9.0412736,,0
Autobis Tera,38.732023,node/7080893993,9.034717,,0
Pastor,38.7306587,node/7080893994,9.0460782,,0
Winget,38.713458,node/7080893995,9.0560646,,0
Chereta,38.7009781,node/7080893996,9.0613645,,0
Sansusi,38.6891732,node/7080894001,9.0715888,,0
Abo Mazoriya,38.7785478,node/7081034797,9.0574672,,0
Education Bureau (6 Kilo),38.7640045,node/7081034799,9.0441923,,0
Total (Dil Ber),38.732915,node/7084255331,9.0648091,,0
Piassa Arada,38.7533521,node/7084255333,9.0341775,,0
Addisu Gebeya,38.7374497,node/7084255334,9.0594855,,0
Tsion Cafe (Addisu Gebeya),38.733166,node/7084255335,9.0638908,,0
Total (Dil Ber),38.7327389,node/7084255336,9.0653883,,0
Ummar School,38.7405402,node/7084722454,9.0337517,,0
Autobis Tera (3),38.7337992,node/7084722456,9.0341036,,0
