trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,continuous_pickup,continuous_drop_off
9,06:23:00,06:23:00,node/7077863014,8,,,,,0,,
9,06:25:00,06:25:00,node/7074504387,9,,,,,1,,
10,06:00:00,06:00:00,node/7078164251,1,,,,,1,,
10,06:05:34,06:05:34,node/7074561392,2,,,,,0,,
10,06:13:35,06:13:35,node/6967234177,3,,,,,0,,
10,06:17:27,06:17:27,node/7074326525,4,,,,,0,,
10,06:21:59,06:21:59,node/7078164255,5,,,,,0,,
10,06:27:41,06:27:41,node/7047495429,6,,,,,0,,
10,06:36:00,06:36:00,node/7078164250,7,,,,,1,,
11,06:00:00,06:00:00,node/7078164256,1,,,,,1,,
11,06:10:12,06:10:12,node/5248250425,2,,,,,0,,
11,06:17:08,06:17:08,node/7074326526,3,,,,,0,,
11,06:23:06,06:23:06,node/7078164254,4,,,,,0,,
11,06:27:36,06:27:36,node/7041052928,5,,,,,0,,
11,06:44:00,06:44:00,node/7049122266,6,,,,,1,,
12,06:00:00,06:00:00,node/7078406240,1,,,,,1,,
12,06:11:17,06:11:17,node/7041071447,2,,,,,0,,
12,06:20:53,06:20:53,node/7078406239,3,,,,,0,,
12,06:27:07,06:27:07,node/7078406238,4,,,,,0,,
12,06:30:35,06:30:35,node/7074504388,5,,,,,0,,
12,06:32:40,06:32:40,node/7078406236,6,,,,,0,,
12,06:36:56,06:36:56,node/7078406237,7,,,,,0,,
12,06:39:00,06:39:00,node/7078406235,8,,,,,1,,
13,06:00:00,06:00:00,node/7078406231,1,,,,,1,,
13,06:08:05,06:08:05,node/7078406228,2,,,,,0,,
13,06:16:19,06:16:19,node/7078406227,3,,,,,0,,
13,06:20:40,06:20:40,node/7041071395,4,,,,,0,,
13,06:30:37,06:30:37,node/7075129253,5,,,,,0,,
13,06:37:08,06:37:08,node/7074541084,6,,,,,0,,
13,06:42:33,06:42:33,node/7041071388,7,,,,,0,,
13,06:46:33,06:46:33,node/7074324043,8,,,,,0,,
